Jurisdiccion; Departamento;Nombre Institucion;Estado_ETP;Gestion;Matricula_Total;Matricula_Varones;Matricula_Mujeres;ORIENTACION;TIPO INST
Misiones;Capital;"Bachillerato con Orientación Laboral Polivalente Nº 01 Provincial N°1 ""Combate Vuelta de Obligado""";Institución de Otro Nivel y/o Modalidad;Estatal;73;49;24;Industrial;SEC TEC-FP
Misiones;Capital;Bachillerato con Orientación Laboral Polivalente Nº 21 ;Institución de Otro Nivel y/o Modalidad;Estatal;79;49;30;Industrial;SEC TEC
Córdoba;Marcos Juárez;Centro de Capacitación Agrotécnica  Tomas Thomas;Institución de ETP;Privado;91;52;39;Agropecuaria;SEC TEC
Buenos Aires;Brandsen;Centro de Educación Agraria (C.E.A.) Nº 02 Brandsen;Institución de ETP;Estatal;16;10;6;Agropecuaria;SEC TEC-FP
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 01 Don Antonio Sanchez Platero;Institución de ETP;Estatal;524;359;165;Industrial;SEC TEC
Río Negro;Bariloche;Centro de Educación Técnica (C.E.T.) Nº 02 Jorge Newbery;Institución de ETP;Estatal;334;243;91;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 03 ;Institución de ETP;Estatal;396;156;240;Servicios;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 05 Jaime Felipe Morant.;Institución de ETP;Estatal;405;192;213;Industrial;SEC TEC
Río Negro;Adolfo Alsina;Centro de Educación Técnica (C.E.T.) Nº 06 Destructor A.R.A. Hércules;Institución de ETP;Estatal;400;237;163;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 07 ;Institución de ETP;Estatal;359;224;135;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 08 ;Institución de ETP;Estatal;317;220;97;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 09 ;Institución de ETP;Estatal;360;267;93;Industrial;SEC TEC
Río Negro;Pichi Mahuida;Centro de Educación Técnica (C.E.T.) Nº 10 Ejército Argentino;Institución de ETP;Estatal;205;153;52;Industrial;SEC TEC
Río Negro;Adolfo Alsina;Centro de Educación Técnica (C.E.T.) Nº 11 ESFA;Institución de ETP;Estatal;212;112;100;Agropecuaria;SEC TEC
Río Negro;San Antonio;Centro de Educación Técnica (C.E.T.) Nº 12 ;Institución de ETP;Estatal;274;121;153;Industrial;SEC TEC
Río Negro;Avellaneda;Centro de Educación Técnica (C.E.T.) Nº 13 Amed Alí Chaiteli;Institución de ETP;Estatal;331;186;145;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 14 Agroindustrial;Institución de ETP;Estatal;171;90;81;Agropecuaria;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 15 ;Institución de ETP;Estatal;327;178;149;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 16 C.E.T. N°16;Institución de ETP;Estatal;303;204;99;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 17 ;Institución de ETP;Estatal;173;89;84;Agropecuaria;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 18 ;Institución de ETP;Estatal;170;104;66;Industrial;SEC TEC
Río Negro;San Antonio;Centro de Educación Técnica (C.E.T.) Nº 19 Centro de Educación Técnica n° 19 Prof. Alicia Mazola;Institución de ETP;Estatal;352;221;131;Industrial;SEC TEC
Río Negro;Avellaneda;Centro de Educación Técnica (C.E.T.) Nº 20 ;Institución de ETP;Estatal;203;121;82;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 21 ;Institución de ETP;Estatal;791;402;389;Industrial;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 22 ;Institución de ETP;Estatal;289;196;93;Industrial;SEC TEC
Río Negro;Bariloche;Centro de Educación Técnica (C.E.T.) Nº 23 ;Institución de ETP;Estatal;90;62;28;Agropecuaria;SEC TEC
Río Negro;Pichi Mahuida;Centro de Educación Técnica (C.E.T.) Nº 24 ;Institución de ETP;Estatal;85;39;46;Agropecuaria;SEC TEC
Río Negro;Bariloche;Centro de Educación Técnica (C.E.T.) Nº 25 De Hotelería y Gastronomía;Institución de ETP;Estatal;326;147;179;Servicios;SEC TEC-FP
Río Negro;Veinticinco de Mayo;Centro de Educación Técnica (C.E.T.) Nº 26 Centro de Educación Técnica ;Institución de ETP;Estatal;165;71;94;Agropecuaria;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 27 ;Institución de ETP;Estatal;296;167;129;Industrial;SEC TEC
Río Negro;Bariloche;Centro de Educación Técnica (C.E.T.) Nº 28 ;Institución de ETP;Estatal;355;244;111;Industrial;SEC TEC
Río Negro;Avellaneda;Centro de Educación Técnica (C.E.T.) Nº 29 ;Institución de ETP;Estatal;180;106;74;Agropecuaria;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 30 ;Institución de ETP;Estatal;344;218;126;Servicios;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 31 CENTRO DE EDUCACIÓN TÉCNICA N°31;Institución de ETP;Estatal;283;166;117;Industrial;SEC TEC
Río Negro;San Antonio;Centro de Educación Técnica (C.E.T.) Nº 32 C.E.T N° 32;Institución de ETP;Estatal;195;65;130;Servicios;SEC TEC
Río Negro;General Roca;Centro de Educación Técnica (C.E.T.) Nº 33 CET N° 33;Institución de ETP;Estatal;259;139;120;Industrial;SEC TEC
Río Negro;Veinticinco de Mayo;Centro de Educación Técnica (C.E.T.) Nº 34 ;Institución de ETP;Estatal;72;34;38;Industrial;SEC TEC
Río Negro;Bariloche;Centro de Educación Técnica (C.E.T.) Nº 35 C.E.T N° 35;Institución de ETP;Estatal;31;15;16;Agropecuaria;SEC TEC
Río Negro;Conesa;Centro de Educación Técnica (C.E.T.) Nº 4 ;Institución de ETP;Estatal;217;115;102;Agropecuaria;SEC TEC
Río Negro;Pilcaniyeu;Centro de Educación Técnica (C.E.T.) Nº GS-028 Centro de Educación Rural Pilca Viejo;Institución de ETP;Privado;51;27;24;Agropecuaria;SEC TEC
Corrientes;Santo Tomé;CENTRO DE FORMACIÓN RURAL (C.F.R) Nº IS 35 LAS COLINAS;Institución de ETP;Privado;48;24;24;Agropecuaria;SEC TEC
Buenos Aires;General Rodríguez;Centro de Formación Rural (C.F.R.) Nº 4251 El Tejado - Con Pedagogía de Alternancia - DIPREGEP;Institución de Otro Nivel y/o Modalidad;Privado;84;84;0;Agropecuaria;SEC TEC
Buenos Aires;Saladillo;Centro de Formación Rural (C.F.R.) Nº 4635 Centro de Formación Rural Saladillo;Institución de Otro Nivel y/o Modalidad;Privado;102;102;0;Agropecuaria;SEC TEC
Buenos Aires;Baradero;Centro de Formación Rural (C.F.R.) Nº 5969 Arturo Figueroa Salas - Con Pedagogía de Alternancia- DIPREGEP;Institución de Otro Nivel y/o Modalidad;Privado;65;65;0;Agropecuaria;SEC TEC
La Rioja;Chilecito;Centro Educativo  Rosario Ocampo Iribarren;Institución de ETP;Estatal;153;81;72;Servicios;SEC TEC
Catamarca;Capital;"Centro Educativo de Nivel Secundario  Centro de Educación Técnico Profesional Zona Sur ""Presidente Nestor Carlos Kirchner""";Institución de ETP;Estatal;109;66;43;Servicios;SEC TEC-FP
Catamarca;Fray Mamerto Esquiú;"Centro Educativo de Nivel Secundario  Escuela Secundaria Técnica Municipal  ""Fray Mamerto Esquiú""";Institución de ETP;Privado;124;74;50;Agropecuaria;SEC TEC
San Luis;General Pedernera;Centro Educativo Nº 10 Ramiro Podetti;Institución de ETP;Estatal;294;139;155;Industrial;SEC TEC
San Luis;General Pedernera;Centro Educativo Nº 11 Inspector Sócrates Cortines;Institución de Otro Nivel y/o Modalidad;Estatal;21;2;19;Servicios;SEC TEC
San Luis;General Pedernera;Centro Educativo Nº 20 Juan Wenceslao Gez;Institución de ETP;Estatal;79;45;34;Industrial;SEC TEC
San Luis;Coronel Pringles;Centro Educativo Nº 22 Historiador Urbano Joaquín Núñez;Institución de ETP;Estatal;76;37;39;Agropecuaria;SEC TEC
San Luis;Belgrano;Centro Educativo Nº 7 Geólogo Román Guiñazú;Institución de ETP;Estatal;51;30;21;Industrial;SEC TEC
Buenos Aires;General Belgrano;Centro Educativo para la Producción Total (C.E.P.T.) Nº 01 Escuela de Alternancia;Institución de ETP;Estatal;67;36;31;Agropecuaria;SEC TEC
Buenos Aires;San Andrés de Giles;Centro Educativo para la Producción Total (C.E.P.T.) Nº 02 Escuela de Alternancia;Institución de ETP;Estatal;63;33;30;Agropecuaria;SEC TEC
Buenos Aires;Coronel Pringles;Centro Educativo para la Producción Total (C.E.P.T.) Nº 03 Paraje Don Alfredo;Institución de ETP;Estatal;57;30;27;Agropecuaria;SEC TEC
Buenos Aires;Mercedes;Centro Educativo para la Producción Total (C.E.P.T.) Nº 04 Mercedes;Institución de ETP;Estatal;50;27;23;Agropecuaria;SEC TEC
