fid,id,cpr,jur,cde,fna,gna,nam,fdc,sag,value,LONGITUD_C,LATITUD_CE
1,1243,"02",Ciudad Autónoma de Buenos Aires,"02014",Comuna 2,Comuna,Comuna 2,Dirección general de estadística y censos del gobierno de la Ciudad de Buenos Aires,INDEC,160609,-58.3942343644009,-34.5851565606644
11,1094,"66",Salta,"66042",Departamento Chicoana,Departamento,Chicoana,Dirección general de estadísticas de la provincia de Salta,INDEC,24715,-65.606327663725,-25.1514577570765
12,1215,"42",La Pampa,"42133",Departamento Realicó,Departamento,Realicó,Dirección general de estadística y censos de la provincia de La Pampa,INDEC,17356,-64.2083777242445,-35.2315476044531
13,1167,"58",Neuquén,"58112",Departamento Zapala,Departamento,Zapala,Dirección provincial de estadística y censos de la provincia del Neuquén,INDEC,45540,-69.8224098301464,-38.9222412221926
14,1422,"14",Córdoba,"14105",Departamento Río Primero,Departamento,Río Primero,Dirección provincial de estadística y censos de la provincia de Córdoba,INDEC,58181,-63.4382617099923,-31.0327526658204
2,1459,"26",Chubut,"26049",Departamento Gastre,Departamento,Gastre,Dirección general de estadística y censos de la provincia del Chubut,INDEC,1181,-68.8020371581203,-42.750423522287
3,1404,"86",Santiago del Estero,"86168",Departamento Salavina,Departamento,Salavina,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,12775,-63.2982862806035,-28.9230752794759
4,1102,"26",Chubut,"26042",Departamento Gaiman,Departamento,Gaiman,Dirección general de estadística y censos de la provincia del Chubut,INDEC,12505,-66.1717977540137,-43.2729600115918
5,1073,"94","Tierra del Fuego, Antártida e Islas del Atlántico Sur","94028",Departamento Antártida Argentina,Departamento,Antártida Argentina,"Instituto provincial de análisis e investigación, estadística y censos de la provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",INDEC,0,-50.6875721561695,-82.5587375960884
6,1195,"42",La Pampa,"42014",Departamento Caleu Caleu,Departamento,Caleu Caleu,Dirección general de estadística y censos de la provincia de La Pampa,INDEC,2611,-63.8968085101737,-38.6759640956014
7,1079,"66",Salta,"66049",Departamento General Güemes,Departamento,General Güemes,Dirección general de estadísticas de la provincia de Salta,INDEC,55746,-64.9560608685806,-24.7646060771932
8,1280,"86",Santiago del Estero,"86161",Departamento Robles,Departamento,Robles,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,53879,-63.9078934007712,-27.849959159162
9,1262,"86",Santiago del Estero,"86035",Departamento Banda,Departamento,Banda,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,170401,-64.180823882805,-27.4499424712278
10,1556,"94","Tierra del Fuego, Antártida e Islas del Atlántico Sur","94021",Departamento Islas del Atlántico Sur,Departamento,Islas del Atlántico Sur,"Instituto provincial de análisis e investigación, estadística y censos de la provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",INDEC,0,-53.3825059919486,-52.5036375529002
15,1090,"86",Santiago del Estero,"86154",Departamento Rivadavia,Departamento,Rivadavia,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,5314,-62.2949208970455,-30.0177485240682
16,1335,"06",Buenos Aires,"06798",Partido de Tapalqué,Partido,Tapalqué,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,10695,-60.1312446716483,-36.3470309292589
17,1479,"66",Salta,"66161",Departamento Santa Victoria,Departamento,Santa Victoria,Dirección general de estadísticas de la provincia de Salta,INDEC,9411,-64.895546660399,-22.3959253532715
18,1137,"66",Salta,"66035",Departamento Cerrillos,Departamento,Cerrillos,Dirección general de estadísticas de la provincia de Salta,INDEC,55713,-65.4038210820118,-24.9884809094356
19,1555,"94","Tierra del Fuego, Antártida e Islas del Atlántico Sur","94015",Departamento Ushuaia,Departamento,Ushuaia,"Instituto provincial de análisis e investigación, estadística y censos de la provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",INDEC,80009,-66.6827866944929,-54.7695666028045
20,1092,"86",Santiago del Estero,"86063",Departamento Choya,Departamento,Choya,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,43692,-64.7573732105855,-28.7687066634082
21,1274,"22",Chaco,"22105",Departamento 9 de Julio,Departamento,9 de Julio,Dirección provincial de información estadística y territorial de la provincia del Chaco,INDEC,30223,-61.2650949741791,-26.9454327015722
22,1059,"06",Buenos Aires,"06791",Partido de Tandil,Partido,Tandil,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,144678,-59.1822571358685,-37.3357409315193
23,1247,"26",Chubut,"26035",Departamento Futaleufú,Departamento,Futaleufú,Dirección general de estadística y censos de la provincia del Chubut,INDEC,49965,-71.4554757245548,-43.0706785118413
24,1034,"74",San Luis,"74007",Departamento Ayacucho,Departamento,Ayacucho,Dirección provincial de estadística y censos de la provincia de San Luis,INDEC,23653,-66.545472422483,-32.1949102885701
27,1263,"26",Chubut,"26070",Departamento Paso de Indios,Departamento,Paso de Indios,Dirección general de estadística y censos de la provincia del Chubut,INDEC,1882,-68.6857706421096,-44.0313937513812
28,1080,"66",Salta,"66154",Departamento San Carlos,Departamento,San Carlos,Dirección general de estadísticas de la provincia de Salta,INDEC,7779,-66.1746675085714,-25.8295001396224
29,1497,"54",Misiones,"54091",Departamento Oberá,Departamento,Oberá,Instituto provincial de estadística y censos de la provincia de Misiones,INDEC,120703,-55.0715201952568,-27.4767010958525
30,1060,"06",Buenos Aires,"06203",Partido de Coronel Suárez,Partido,Coronel Suárez,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,41713,-61.889763878562,-37.5350503048054
31,1413,"86",Santiago del Estero,"86189",Departamento Silípica,Departamento,Silípica,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,9766,-64.2761992286871,-28.1834785623005
32,1435,"82",Santa Fe,"82105",Departamento San Jerónimo,Departamento,San Jerónimo,Instituto provincial de estadística y censos de la provincia de Santa Fe,INDEC,84617,-61.0483874717063,-32.1537674352149
33,1257,"26",Chubut,"26063",Departamento Mártires,Departamento,Mártires,Dirección general de estadística y censos de la provincia del Chubut,INDEC,744,-67.2400199841615,-43.8140184177403
34,1462,"14",Córdoba,"14007",Departamento Calamuchita,Departamento,Calamuchita,Dirección provincial de estadística y censos de la provincia de Córdoba,INDEC,75462,-64.6183474565551,-32.204853672378
35,1258,"86",Santiago del Estero,"86182",Departamento Sarmiento,Departamento,Sarmiento,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,5034,-63.4551950358326,-28.0934402959442
36,1225,"86",Santiago del Estero,"86056",Departamento Copo,Departamento,Copo,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,35653,-62.7384976560469,-25.9482944497604
404,1099,"46",La Rioja,"46084",Departamento General Ortiz de Ocampo,Departamento,General Ortiz de Ocampo,Dirección general de estadística y censos de la provincia de La Rioja,INDEC,7347,-66.0593021929242,-31.0063749409328
25,1463,"94","Tierra del Fuego, Antártida e Islas del Atlántico Sur","94011",Departamento Tolhuin,Departamento,Tolhuin,"Instituto provincial de análisis e investigación, estadística y censos de la provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",INDEC,6027,-67.5024653381331,-54.4251601393707
26,1498,"54",Misiones,"54098",Departamento San Ignacio,Departamento,San Ignacio,Instituto provincial de estadística y censos de la provincia de Misiones,INDEC,63194,-55.3394011561543,-27.1767470312085
48,1480,"66",Salta,"66056",Departamento General José de San Martín,Departamento,General José de San Martín,Dirección general de estadísticas de la provincia de Salta,INDEC,177448,-63.6583138092491,-22.7145211636637
49,1051,"06",Buenos Aires,"06686",Partido de Rojas,Partido,Rojas,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,25619,-60.7878113077634,-34.1928199503277
50,1251,"26",Chubut,"26056",Departamento Languiñeo,Departamento,Languiñeo,Dirección general de estadística y censos de la provincia del Chubut,INDEC,2862,-70.3482437713294,-43.3235240293872
51,1057,"06",Buenos Aires,"06560",Partido de Moreno,Partido,Moreno,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,575758,-58.8109333700779,-34.6106556329582
37,1355,"06",Buenos Aires,"06448",Partido de Laprida,Partido,Laprida,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,11496,-60.7680323216194,-37.5153205882904
38,1417,"66",Salta,"66063",Departamento Guachipas,Departamento,Guachipas,Dirección general de estadísticas de la provincia de Salta,INDEC,3491,-65.4444251922441,-25.702760496774
39,1166,"58",Neuquén,"58098",Departamento Picún Leufú,Departamento,Picún Leufú,Dirección provincial de estadística y censos de la provincia del Neuquén,INDEC,5087,-69.4272159890647,-39.4039804836031
54,1535,"02",Ciudad Autónoma de Buenos Aires,"02105",Comuna 15,Comuna,Comuna 15,Dirección general de estadística y censos del gobierno de la Ciudad de Buenos Aires,INDEC,195265,-58.4628099670144,-34.5918705706321
422,1144,"62",Río Negro,"62084",Departamento Valcheta,Departamento,Valcheta,Dirección de estadística y censos de la provincia de Río Negro,INDEC,4300,-66.311327221477,-40.9705723211778
40,1319,"06",Buenos Aires,"06329",Partido de General Las Heras,Partido,General Las Heras,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,17980,-58.9957690740754,-34.9094532398431
41,1559,"06",Buenos Aires,"06441",Partido de La Plata,Partido,La Plata,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,756074,-58.0180102410945,-35.0035494768871
42,1132,"14",Córdoba,"14126",Departamento San Alberto,Departamento,San Alberto,Dirección provincial de estadística y censos de la provincia de Córdoba,INDEC,42029,-65.1567379185202,-31.708645729557
190,1525,"22",Chaco,"22056",Departamento General Donovan,Departamento,General Donovan,Dirección provincial de información estadística y territorial de la provincia del Chaco,INDEC,15061,-59.3469799022155,-27.138964997844
191,1045,"30",Entre Ríos,"30105",Departamento Victoria,Departamento,Victoria,Dirección general de estadística y censos de la provincia de Entre Ríos,INDEC,40301,-60.2173008820229,-32.7852340727055
43,1197,"86",Santiago del Estero,"86175",Departamento San Martín,Departamento,San Martín,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,11183,-63.8564123712215,-28.1864413631363
44,1458,"22",Chaco,"22084",Departamento Libertador General San Martín,Departamento,Libertador General San Martín,Dirección provincial de información estadística y territorial de la provincia del Chaco,INDEC,65304,-59.4883596764839,-26.3776193981579
192,1122,"06",Buenos Aires,"06655",Partido de Punta Indio,Partido,Punta Indio,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,12161,-57.3992353624203,-35.4266825768298
45,1375,"06",Buenos Aires,"06322",Partido de General La Madrid,Partido,General La Madrid,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,11535,-61.3442823977379,-37.3555886205903
46,1253,"86",Santiago del Estero,"86007",Departamento Aguirre,Departamento,Aguirre,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,8959,-62.5105532047801,-29.2894455884048
198,1074,"14",Córdoba,"14175",Departamento Tulumba,Departamento,Tulumba,Dirección provincial de estadística y censos de la provincia de Córdoba,INDEC,14092,-63.8283640301558,-30.2199675957985
199,1418,"42",La Pampa,"42035",Departamento Conhelo,Departamento,Conhelo,Dirección general de estadística y censos de la provincia de La Pampa,INDEC,15094,-64.5085740216599,-36.0330404474323
200,1409,"10",Catamarca,"10105",Departamento Tinogasta,Departamento,Tinogasta,Subsecretaría de estadística y censos de la provincia de Catamarca,INDEC,25254,-67.9303846075487,-27.5413620769315
47,1308,"06",Buenos Aires,"06568",Partido de Morón,Partido,Morón,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,329517,-58.6198638186606,-34.6491608180153
52,1527,"06",Buenos Aires,"06434",Partido de Lanús,Partido,Lanús,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,460081,-58.3947297912271,-34.7055944944373
53,1223,"42",La Pampa,"42105",Departamento Maracó,Departamento,Maracó,Dirección general de estadística y censos de la provincia de La Pampa,INDEC,69067,-63.6612243088786,-35.6797967037688
55,1531,"22",Chaco,"22077",Departamento Libertad,Departamento,Libertad,Dirección provincial de información estadística y territorial de la provincia del Chaco,INDEC,13775,-59.2603093705657,-27.3496280260941
56,1091,"86",Santiago del Estero,"86126",Departamento Ojo de Agua,Departamento,Ojo de Agua,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,15008,-63.9899328266163,-29.3041935153259
57,1083,"06",Buenos Aires,"06315",Partido de General Juan Madariaga,Partido,General Juan Madariaga,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,22566,-57.2312580595992,-37.1536623339494
58,1240,"14",Córdoba,"14112",Departamento Río Seco,Departamento,Río Seco,Dirección provincial de estadística y censos de la provincia de Córdoba,INDEC,15275,-63.2021402627514,-30.0454498545034
151,1089,"22",Chaco,"22036",Departamento 12 de Octubre,Departamento,12 de Octubre,Dirección provincial de información estadística y territorial de la provincia del Chaco,INDEC,23179,-61.4759381783026,-27.3353726973993
59,1466,"06",Buenos Aires,"06679",Partido de Rivadavia,Partido,Rivadavia,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,19735,-63.094671728148,-35.5810629469816
60,1165,"66",Salta,"66007",Departamento Anta,Departamento,Anta,Dirección general de estadísticas de la provincia de Salta,INDEC,69442,-63.8397312808215,-24.8754640350186
61,1133,"14",Córdoba,"14119",Departamento Río Segundo,Departamento,Río Segundo,Dirección provincial de estadística y censos de la provincia de Córdoba,INDEC,113311,-63.4748308077544,-31.7332570053274
62,1154,"22",Chaco,"22070",Departamento Independencia,Departamento,Independencia,Dirección provincial de información estadística y territorial de la provincia del Chaco,INDEC,21948,-60.7571102138534,-26.7371991831313
63,1347,"26",Chubut,"26007",Departamento Biedma,Departamento,Biedma,Dirección general de estadística y censos de la provincia del Chubut,INDEC,102806,-64.9351303052609,-42.4437964391878
64,1401,"06",Buenos Aires,"06882",Partido de Zárate,Partido,Zárate,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,131415,-59.1284149628485,-33.9971800888729
65,1376,"06",Buenos Aires,"06105",Partido de Bolívar,Partido,Bolívar,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,37194,-61.1499558309702,-36.2984898068649
66,1096,"06",Buenos Aires,"06672",Partido de Rauch,Partido,Rauch,Dirección provincial de estadística de la provincia de Buenos Aires,INDEC,16491,-58.9441174687683,-36.5722577909493
78,1367,"86",Santiago del Estero,"86119",Departamento Moreno,Departamento,Moreno,Dirección general de estadística y censos de la provincia de Santiago del Estero,INDEC,40352,-62.4652527670062,-27.3084186824314
79,1287,"50",Mendoza,"50021",Departamento Godoy Cruz,Departamento,Godoy Cruz,Dirección de estadística e investigaciones económicas de la provincia de Mendoza,INDEC,194557,-68.9147986624503,-32.9314925572475
